Symbol,Name,Price,Price/Earnings,Dividend Yield,Earnings/Share,Market Cap,EBITDA,Price/Sales,Price/Book,good_pe,good_eps,good_mc,good_pb,good_div,good_stock,predicted_good_stock
KIM,Kimco Realty,22.45,41.574074,0.044099998,0.54,15133119488.0,1195842048.0,7.708316,1.4380885,False,True,True,True,True,0,0
KMI,Kinder Morgan,27.48,23.48718,0.0374,1.17,61050662912.0,6568999936.0,4.029481,2.0078912,True,True,True,True,True,1,0
KLAC,KLA Corporation,738.24,31.070705,0.0092,23.76,98746982400.0,4249192960.0,9.627435,29.462427,False,True,True,False,False,0,0
KHC,Kraft Heinz,29.84,26.882883,0.0529,1.11,36081635328.0,6446000128.0,1.3808509,0.74648523,False,True,True,True,True,0,1
KR,Kroger,61.64,16.306879,0.0214,3.78,44603072512.0,8067999744.0,0.29695392,4.9959474,True,True,True,False,True,0,0
LHX,L3Harris,212.01,26.939009,0.0219,7.87,40211513344.0,3705999872.0,1.901973,2.1152773,False,True,True,True,True,0,0
LH,LabCorp,249.8,47.310604,0.0114,5.28,20893095936.0,1673500032.0,1.6434692,2.5590854,False,True,True,True,False,0,0
LRCX,Lam Research,81.05,24.63526,0.012200001,3.29,104146010112.0,4920197120.0,6.6797514,12.374046,True,True,True,False,False,0,0
LW,Lamb Weston,59.94,23.598425,0.0184,2.54,8549900800.0,1294400000.0,1.324252,4.816779,True,True,True,False,False,0,0
LVS,Las Vegas Sands,45.83,23.382654,0.0184,1.96,33227941888.0,3863000064.0,2.9361086,9.697419,True,True,True,False,False,0,0
LDOS,Leidos,142.03,16.158134,0.0113,8.79,18951489536.0,2056999936.0,1.1643109,4.104439,True,True,True,False,False,0,0
LEN,Lennar,131.24,9.171209,0.0137,14.31,34666786816.0,5534482944.0,0.95074534,1.2986089,True,True,True,True,False,0,0
LLY,Lilly (Eli),811.08,87.212906,0.0073,9.3,729417187328.0,16566500352.0,17.850178,51.253082,False,True,True,False,False,0,0
